Problem,CRMprod_it,CRMprod_elapsed,CRMprodApprox_it,CRMprodApprox_elapsed,MAPprod_it,MAPprod_elapsed,MAPprodApprox_it,MAPprodApprox_elapsed
Prob=6_Rest=1_n=100_nsets=10,4,7.5277030840000005,6,0.0006430725591757889,125,31.441733665,127,0.004356701335658239
Prob=7_Rest=1_n=100_nsets=10,4,6.72389158,6,0.0006490701436370727,123,29.759715299000003,118,0.004061984350121852
Prob=8_Rest=1_n=100_nsets=10,5,6.918759081,6,0.000635067136698881,118,30.758148899000002,124,0.004248012072217502
Prob=9_Rest=1_n=100_nsets=10,4,6.864970239000001,7,0.000713355184947158,125,29.893397398,113,0.003962632461965135
Prob=10_Rest=1_n=100_nsets=10,5,6.945265966,6,0.0006466306083128319,115,29.210276171,111,0.003911760909233177
Prob=1_Rest=1_n=100_nsets=20,4,13.542323963000001,7,0.0014281281612349916,257,63.501501717000004,259,0.015965410563694268
Prob=2_Rest=1_n=100_nsets=20,4,13.407267531,7,0.0014009699119461583,255,63.508642551,254,0.015931419028662422
Prob=3_Rest=1_n=100_nsets=20,5,13.921755644000001,7,0.0014079575432516202,231,68.81420685100001,246,0.01548588550154799
Prob=4_Rest=1_n=100_nsets=20,4,13.778069772,7,0.0014427652496396659,254,66.13816982200001,253,0.015806568179810725
Prob=5_Rest=1_n=100_nsets=20,4,13.219138544000002,7,0.001442499100490904,260,65.279404871,262,0.01628585567752443
Prob=6_Rest=1_n=100_nsets=20,5,13.434422839000002,7,0.0014216114513375072,238,63.841843770000004,238,0.014967605763473056
Prob=7_Rest=1_n=100_nsets=20,5,14.199055487,7,0.0014374239243165467,244,63.707185612,233,0.014857837491124262
Prob=8_Rest=1_n=100_nsets=20,4,13.739113967000002,6,0.0012782517888945753,264,66.03182876400001,266,0.01668943618666667
Prob=9_Rest=1_n=100_nsets=20,5,13.914022376,7,0.0014527320322862132,238,65.42333813100001,240,0.015215312565349545
Prob=10_Rest=1_n=100_nsets=20,6,14.081180332,7,0.0014426754056004619,202,68.096373895,236,0.015010796688622754
Prob=1_Rest=1_n=100_nsets=50,6,35.688143001,7,0.003712806157503715,522,180.70274337,551,0.08519496471186441
Prob=2_Rest=1_n=100_nsets=50,5,34.508061604000005,7,0.0036316505581395347,636,182.73737997,643,0.09974298847058824
Prob=3_Rest=1_n=100_nsets=50,5,35.21532035,7,0.0037047475945144554,615,177.48491638200002,612,0.09496490152830188
Prob=4_Rest=1_n=100_nsets=50,5,34.317505628,7,0.003724945372110366,647,178.92434953900002,646,0.09866403078431372
Prob=5_Rest=1_n=100_nsets=50,6,35.905530143,7,0.0037457416611694156,566,176.99905524300002,525,0.08264857473770493
Prob=6_Rest=1_n=100_nsets=50,5,34.943387861000005,7,0.0037996586311787074,634,177.81483184,641,0.10052143024
Prob=7_Rest=1_n=100_nsets=50,6,36.793421352,7,0.0037876364863842662,551,175.71575443700002,544,0.08672520827586207
Prob=8_Rest=1_n=100_nsets=50,5,35.276249517000004,7,0.0037926629977255498,629,182.02785002200002,634,0.1001492626
Prob=9_Rest=1_n=100_nsets=50,5,35.392798745,7,0.00386786727631579,621,182.26481801600002,628,0.09849201843137256
Prob=10_Rest=1_n=100_nsets=50,5,34.952607591,7,0.0038784841521739134,619,176.38502313,623,0.09757458759615385
Prob=1_Rest=1_n=200_nsets=5,4,34.112236589000005,6,0.0006792230478773906,56,116.20058068300001,60,0.002444569729319628
Prob=2_Rest=1_n=200_nsets=5,4,32.482733573000004,6,0.0006828942653200492,62,120.163847962,65,0.0025135589456740442
Prob=3_Rest=1_n=200_nsets=5,4,32.259495907,6,0.0006951985784122564,61,118.305910729,64,0.0025107200537688446
Prob=4_Rest=1_n=200_nsets=5,4,33.073264477,6,0.0007079946000851185,55,116.353176133,60,0.0024094282207228917
Prob=5_Rest=1_n=200_nsets=5,4,31.465859625,6,0.0006717333062432724,62,109.27514655700001,65,0.0025017494802203307
Prob=6_Rest=1_n=200_nsets=5,3,30.25225671,6,0.0006903091500550661,62,114.652410191,65,0.0025187190393145165
Prob=7_Rest=1_n=200_nsets=5,4,33.624677298,6,0.0006853937736444749,57,122.042351112,60,0.0024020793710298367
Prob=8_Rest=1_n=200_nsets=5,4,32.00762548,6,0.0006848549491083677,61,116.24320251900001,58,0.0023770001984769157
Prob=9_Rest=1_n=200_nsets=5,3,30.728249398000003,6,0.0006739585242980561,64,109.618543172,66,0.0025188321356530512
Prob=10_Rest=1_n=200_nsets=5,4,31.370216101,6,0.0006880482276109121,60,113.94131056200001,62,0.002442186014669927
Prob=1_Rest=1_n=200_nsets=10,4,67.22731376600001,6,0.0012946870451244815,129,262.809324315,130,0.008710045801393729
Prob=2_Rest=1_n=200_nsets=10,5,68.433401128,7,0.0015134701094270992,121,257.49052993500004,115,0.007883832277602525
Prob=3_Rest=1_n=200_nsets=10,4,63.677545471,6,0.0013008729924439814,124,256.682046731,130,0.008817205040564373
Prob=4_Rest=1_n=200_nsets=10,4,63.92235911,6,0.0012890060409688226,123,265.663558081,128,0.008583041644939967
Prob=5_Rest=1_n=200_nsets=10,4,60.984780693000005,6,0.0012948352689816014,125,260.437417578,118,0.008088370533011273
Prob=6_Rest=1_n=200_nsets=10,5,68.611518898,6,0.001302401253121748,108,275.691893332,121,0.008214816886699507
Prob=7_Rest=1_n=200_nsets=10,4,65.174240255,6,0.0012961926709744121,120,261.51356096200004,127,0.008520942252129474
